ID,Source,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
80,Google,Affinity Audience,News & Politics,Avid News Readers,,,,
81,Google,Affinity Audience,News & Politics,Avid News Readers,Avid Business News Readers,,,
82,Google,Affinity Audience,News & Politics,Avid News Readers,Avid Local News Readers,,,
83,Google,Affinity Audience,News & Politics,Avid News Readers,Avid Political News Readers,,,
84,Google,Affinity Audience,News & Politics,Avid News Readers,Avid World News Readers,,,
85,Google,Affinity Audience,News & Politics,Avid News Readers,Entertainment News Enthusiasts,,,
86,Google,Affinity Audience,News & Politics,Avid News Readers,Men's Media Fans,,,
87,Google,Affinity Audience,News & Politics,Avid News Readers,Women's Media Fans,,,
88,Google,Affinity Audience,Shoppers,,,,,
89,Google,Affinity Audience,Shoppers,Bargain Hunters,,,,
90,Google,Affinity Audience,Shoppers,Luxury Shoppers,,,,
91,Google,Affinity Audience,Shoppers,Shopaholics,,,,
92,Google,Affinity Audience,Shoppers,Shoppers by Store Type,,,,
93,Google,Affinity Audience,Shoppers,Shoppers by Store Type,Convenience Store Shoppers,,,
94,Google,Affinity Audience,Shoppers,Shoppers by Store Type,Department Store Shoppers,,,
95,Google,Affinity Audience,Shoppers,Shoppers by Store Type,Superstore Shoppers,,,
96,Google,Affinity Audience,Shoppers,Value Shoppers,,,,
97,Google,Affinity Audience,Sports & Fitness,,,,,
98,Google,Affinity Audience,Sports & Fitness,Health & Fitness Buffs,,,,
99,Google,Affinity Audience,Sports & Fitness,Sports Fans,,,,
100,Google,Affinity Audience,Sports & Fitness,Sports Fans,American Football Fans,,,
101,Google,Affinity Audience,Sports & Fitness,Sports Fans,Australian Football Fans,,,
102,Google,Affinity Audience,Sports & Fitness,Sports Fans,Baseball Fans,,,
103,Google,Affinity Audience,Sports & Fitness,Sports Fans,Basketball Fans,,,
104,Google,Affinity Audience,Sports & Fitness,Sports Fans,Boating & Sailing Enthusiasts,,,
105,Google,Affinity Audience,Sports & Fitness,Sports Fans,Cricket Enthusiasts,,,
106,Google,Affinity Audience,Sports & Fitness,Sports Fans,Cycling Enthusiasts,,,
