,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
337,In-market audiences,Business Services,Business Technology,Enterprise Software,Collaboration & Conferencing Tools,,
338,In-market audiences,Business Services,Business Technology,Enterprise Software,ERP Solutions,,
339,In-market audiences,Business Services,Business Technology,Enterprise Software,Helpdesk & Customer Support Solutions,,
340,In-market audiences,Business Services,Business Technology,Network Systems & Services,,,
341,In-market audiences,Business Services,Business Technology,Network Systems & Services,Hosted Data & Cloud Storage,,
342,In-market audiences,Business Services,Business Technology,Network Systems & Services,Network & Enterprise Security,,
343,In-market audiences,Business Services,Business Technology,Network Systems & Services,Network Equipment & Virtualization,,
344,In-market audiences,Business Services,Business Technology,Network Systems & Services,Network Management,,
345,In-market audiences,Business Services,Business Technology,Web Services,,,
346,In-market audiences,Business Services,Business Technology,Web Services,Domain Registration,,
347,In-market audiences,Business Services,Business Technology,Web Services,Web Design & Development,,
348,In-market audiences,Business Services,Business Technology,Web Services,Web Hosting,,
349,In-market audiences,Business Services,Corporate Event Planning,,,,
350,In-market audiences,Business Services,Office Supplies,,,,
351,In-market audiences,Business Services,Office Supplies,Office Furniture,,,
352,In-market audiences,Business Services,Payment Processing & Merchant Services,,,,
353,In-market audiences,Business Services,Payroll Services,,,,
354,In-market audiences,Business Services,Staffing & Recruitment Services,,,,
355,In-market audiences,Computers & Peripherals,,,,,
356,In-market audiences,Computers & Peripherals,Computer Accessories & Components,,,,
357,In-market audiences,Computers & Peripherals,Computer Accessories & Components,Computer Monitors,,,
358,In-market audiences,Computers & Peripherals,Computer Accessories & Components,Memory & Storage,,,
359,In-market audiences,Computers & Peripherals,Computers,,,,
360,In-market audiences,Computers & Peripherals,Computers,Desktop Computers,,,
361,In-market audiences,Computers & Peripherals,Computers,Laptops & Notebooks,,,
362,In-market audiences,Computers & Peripherals,Computers,Tablets & Ultraportable Devices,,,
363,In-market audiences,Computers & Peripherals,"Printers, Scanners & Faxes",,,,
364,In-market audiences,Consumer Electronics,,,,,
365,In-market audiences,Consumer Electronics,Audio,,,,
366,In-market audiences,Consumer Electronics,Audio,Headphones & Headsets,,,
367,In-market audiences,Consumer Electronics,Audio,Pro Musician & DJ Equipment,,,
368,In-market audiences,Consumer Electronics,Audio,Speakers,,,
369,In-market audiences,Consumer Electronics,Audio,Stereo Systems,,,
370,In-market audiences,Consumer Electronics,Batteries,,,,
371,In-market audiences,Consumer Electronics,Camcorders,,,,
372,In-market audiences,Consumer Electronics,Cameras,,,,
373,In-market audiences,Consumer Electronics,Cameras,Camera Lenses,,,
374,In-market audiences,Consumer Electronics,Cameras,Digital SLRs,,,
375,In-market audiences,Consumer Electronics,Game Consoles,,,,
376,In-market audiences,Consumer Electronics,Game Consoles,Nintendo Consoles,,,
377,In-market audiences,Consumer Electronics,Game Consoles,Sony PlayStation,,,
378,In-market audiences,Consumer Electronics,Game Consoles,Xbox,,,
379,In-market audiences,Consumer Electronics,Home Theater Systems,,,,
380,In-market audiences,Consumer Electronics,Mobile Phone Accessories,,,,
381,In-market audiences,Consumer Electronics,Mobile Phones,,,,
382,In-market audiences,Consumer Electronics,Televisions,,,,
383,In-market audiences,Dating Services,,,,,
384,In-market audiences,Education,,,,,
385,In-market audiences,Education,Foreign Language Study,,,,
386,In-market audiences,Education,Post-Secondary Education,,,,
387,In-market audiences,Education,Post-Secondary Education,Arts & Design Education,,,
388,In-market audiences,Education,Post-Secondary Education,Business Education,,,
389,In-market audiences,Education,Post-Secondary Education,Cosmetology Education & Training,,,
390,In-market audiences,Education,Post-Secondary Education,Technology Education,,,
391,In-market audiences,Education,Primary & Secondary Schools (K-12),,,,
392,In-market audiences,Education,Study Abroad Programs,,,,
393,In-market audiences,Education,Test Preparation & Tutoring,,,,
394,In-market audiences,Employment,,,,,
395,In-market audiences,Employment,Accounting & Finance Jobs,,,,
396,In-market audiences,Employment,Career Consulting Services,,,,
397,In-market audiences,Employment,Clerical &ministrative Jobs,,,,
398,In-market audiences,Employment,Education Jobs,,,,
399,In-market audiences,Employment,Executive & Management Jobs,,,,
400,In-market audiences,Employment,Government & Public Sector Jobs,,,,
401,In-market audiences,Employment,Health & Medical Jobs,,,,
402,In-market audiences,Employment,IT & Technical Jobs,,,,
403,In-market audiences,Employment,Internships,,,,
404,In-market audiences,Employment,Legal Jobs,,,,
405,In-market audiences,Employment,Resumes & Portfolios,,,,
406,In-market audiences,Employment,Retail Jobs,,,,
407,In-market audiences,Employment,Sales & Marketing Jobs,,,,
408,In-market audiences,Employment,Temporary & Seasonal Jobs,,,,
409,In-market audiences,Event Tickets,,,,,
410,In-market audiences,Event Tickets,Concert & Music Festival Tickets,,,,
411,In-market audiences,Event Tickets,Performing Arts Tickets,,,,
412,In-market audiences,Event Tickets,Performing Arts Tickets,Broadway & Theater Tickets,,,
413,In-market audiences,Event Tickets,Sports Tickets,,,,
414,In-market audiences,Event Tickets,Sports Tickets,American Football Tickets,,,
415,In-market audiences,Event Tickets,Sports Tickets,Baseball Tickets,,,
416,In-market audiences,Event Tickets,Sports Tickets,Basketball Tickets,,,
417,In-market audiences,Event Tickets,Sports Tickets,Hockey Tickets,,,
418,In-market audiences,Event Tickets,Sports Tickets,Soccer Tickets,,,
419,In-market audiences,Financial Services,,,,,
420,In-market audiences,Financial Services,Banking Services,,,,
421,In-market audiences,Financial Services,Banking Services,Debit & Checking Services,,,
422,In-market audiences,Financial Services,Banking Services,Savings Accounts,,,
423,In-market audiences,Financial Services,Credit & Lending,,,,
424,In-market audiences,Financial Services,Credit & Lending,Auto Loans,,,
425,In-market audiences,Financial Services,Credit & Lending,Business Loans,,,
426,In-market audiences,Financial Services,Credit & Lending,Credit Cards,,,
427,In-market audiences,Financial Services,Credit & Lending,Credit Reports & Monitoring Services,,,
428,In-market audiences,Financial Services,Credit & Lending,Mortgage,,,
429,In-market audiences,Financial Services,Credit & Lending,Mortgage,Home Equity Loans,,
430,In-market audiences,Financial Services,Credit & Lending,Mortgage,Home Purchase Loans,,
431,In-market audiences,Financial Services,Credit & Lending,Mortgage,Mortgage Refinancing,,
432,In-market audiences,Financial Services,Credit & Lending,Personal Loans,,,
433,In-market audiences,Financial Services,Credit & Lending,Student Loans,,,
434,In-market audiences,Financial Services,Financial Planning,,,,
435,In-market audiences,Financial Services,Financial Planning,Estate Planning,,,
436,In-market audiences,Financial Services,Financial Planning,Retirement Planning,,,
437,In-market audiences,Financial Services,Insurance,,,,
438,In-market audiences,Financial Services,Insurance,Auto Insurance,,,
439,In-market audiences,Financial Services,Insurance,Health Insurance,,,
440,In-market audiences,Financial Services,Insurance,Home Insurance,,,
441,In-market audiences,Financial Services,Insurance,Life Insurance,,,
442,In-market audiences,Financial Services,Insurance,Travel Insurance,,,
443,In-market audiences,Financial Services,Investment Services,,,,
444,In-market audiences,Financial Services,Tax Preparation Services & Software,,,,
445,In-market audiences,Gifts & Occasions,,,,,
446,In-market audiences,Gifts & Occasions,Flowers,,,,
447,In-market audiences,Gifts & Occasions,Gift Baskets,,,,
448,In-market audiences,Gifts & Occasions,Holiday Items & Decorations,,,,
449,In-market audiences,Gifts & Occasions,Holiday Items & Decorations,Christmas Items & Decor,,,
450,In-market audiences,Gifts & Occasions,Holiday Items & Decorations,Halloween Items & Decor,,,
451,In-market audiences,Gifts & Occasions,Holiday Items & Decorations,Valentine's Day Items & Decor,,,
452,In-market audiences,Gifts & Occasions,Party Supplies & Planning,,,,
453,In-market audiences,Gifts & Occasions,Party Supplies & Planning,Event Planning Services,,,
454,In-market audiences,Gifts & Occasions,Party Supplies & Planning,Party Supplies,,,
455,In-market audiences,Gifts & Occasions,Personalized Gifts,,,,
456,In-market audiences,Gifts & Occasions,Photo & Video Services,,,,
457,In-market audiences,Gifts & Occasions,Photo & Video Services,Event Photographers & Studios,,,
458,In-market audiences,Gifts & Occasions,Photo & Video Services,Photo Printing Services,,,
459,In-market audiences,Gifts & Occasions,Wedding Planning,,,,
460,In-market audiences,Home & Garden,,,,,
461,In-market audiences,Home & Garden,Cookware & Bakeware,,,,
462,In-market audiences,Home & Garden,Home & Garden Services,,,,
463,In-market audiences,Home & Garden,Home & Garden Services,Architectural Services,,,
464,In-market audiences,Home & Garden,Home & Garden Services,Carpet Installation,,,
465,In-market audiences,Home & Garden,Home & Garden Services,Door & Window Installation,,,
466,In-market audiences,Home & Garden,Home & Garden Services,Electrician Services,,,
467,In-market audiences,Home & Garden,Home & Garden Services,Flooring Services,,,
468,In-market audiences,Home & Garden,Home & Garden Services,General Contracting & Remodeling Services,,,
469,In-market audiences,Home & Garden,Home & Garden Services,Home Cleaning Services,,,
470,In-market audiences,Home & Garden,Home & Garden Services,Home Inspection Services,,,
471,In-market audiences,Home & Garden,Home & Garden Services,Interior Design & Decorating Services,,,
472,In-market audiences,Home & Garden,Home & Garden Services,Landscape Design,,,
473,In-market audiences,Home & Garden,Home & Garden Services,Locksmith Services,,,
474,In-market audiences,Home & Garden,Home & Garden Services,Painting Services,,,
475,In-market audiences,Home & Garden,Home & Garden Services,Pest Control Services,,,
476,In-market audiences,Home & Garden,Home & Garden Services,Plumbing Services,,,
477,In-market audiences,Home & Garden,Home & Garden Services,Roofing Services,,,
478,In-market audiences,Home & Garden,Home Appliances,,,,
479,In-market audiences,Home & Garden,Home Appliances,Climate Control & Air Quality,,,
480,In-market audiences,Home & Garden,Home Appliances,Climate Control & Air Quality,Air Conditioners,,
481,In-market audiences,Home & Garden,Home Appliances,Climate Control & Air Quality,Fans,,
482,In-market audiences,Home & Garden,Home Appliances,Cooking Ranges & Stoves,,,
483,In-market audiences,Home & Garden,Home Appliances,Dishwashers,,,
484,In-market audiences,Home & Garden,Home Appliances,Microwaves,,,
485,In-market audiences,Home & Garden,Home Appliances,Refrigerators,,,
486,In-market audiences,Home & Garden,Home Appliances,Small Appliances,,,
487,In-market audiences,Home & Garden,Home Appliances,Small Appliances,Coffee & Espresso Makers,,
488,In-market audiences,Home & Garden,Home Appliances,Small Appliances,Juicers & Blenders,,
489,In-market audiences,Home & Garden,Home Appliances,Small Appliances,Mixers,,
490,In-market audiences,Home & Garden,Home Appliances,Vacuums,,,
491,In-market audiences,Home & Garden,Home Appliances,Washers & Dryers,,,
492,In-market audiences,Home & Garden,Home Decor,,,,
493,In-market audiences,Home & Garden,Home Decor,Bedding,,,
494,In-market audiences,Home & Garden,Home Decor,Curtains & Window Treatments,,,
495,In-market audiences,Home & Garden,Home Decor,Fireplaces,,,
496,In-market audiences,Home & Garden,Home Decor,Lights & Fixtures,,,
497,In-market audiences,Home & Garden,Home Decor,Rugs & Carpets,,,
498,In-market audiences,Home & Garden,Home Furnishings,,,,
499,In-market audiences,Home & Garden,Home Furnishings,Bedroom,,,
500,In-market audiences,Home & Garden,Home Furnishings,Bedroom,Beds & Bed Frames,,
501,In-market audiences,Home & Garden,Home Furnishings,Bedroom,Mattresses,,
502,In-market audiences,Home & Garden,Home Furnishings,Home Office,,,
503,In-market audiences,Home & Garden,Home Furnishings,Home Storage & Shelving,,,
504,In-market audiences,Home & Garden,Home Furnishings,Kitchen & Dining Room,,,
505,In-market audiences,Home & Garden,Home Furnishings,Living Room,,,
506,In-market audiences,Home & Garden,Home Furnishings,Living Room,Accent Tables,,
507,In-market audiences,Home & Garden,Home Furnishings,Living Room,Sofas,,
508,In-market audiences,Home & Garden,Home Furnishings,Nursery,,,
509,In-market audiences,Home & Garden,Home Improvement,,,,
510,In-market audiences,Home & Garden,Home Improvement,Flooring,,,
511,In-market audiences,Home & Garden,Home Improvement,Kitchen & Bathroom Cabinets,,,
512,In-market audiences,Home & Garden,Home Improvement,Kitchen & Bathroom Counters,,,
513,In-market audiences,Home & Garden,Home Improvement,Paint,,,
514,In-market audiences,Home & Garden,Home Improvement,Plumbing Fixtures,,,
515,In-market audiences,Home & Garden,Home Improvement,Tools,,,
516,In-market audiences,Home & Garden,Home Security,,,,
517,In-market audiences,Home & Garden,Household Supplies,,,,
518,In-market audiences,Home & Garden,Household Supplies,Household Cleaning Supplies,,,
519,In-market audiences,Home & Garden,Household Supplies,Pest Control Supplies,,,
520,In-market audiences,Home & Garden,Kitchen Tools & Utensils,,,,
521,In-market audiences,Home & Garden,Outdoor Items,,,,
522,In-market audiences,Home & Garden,Outdoor Items,BBQs & Grills,,,
523,In-market audiences,Home & Garden,Outdoor Items,Garden & Outdoor Furniture,,,
524,In-market audiences,Home & Garden,Outdoor Items,Garden Sheds & Outdoor Structures,,,
525,In-market audiences,Home & Garden,Outdoor Items,Lawn Care & Gardening Supplies,,,
526,In-market audiences,Home & Garden,Outdoor Items,Lawn Mowers,,,
527,In-market audiences,Home & Garden,Outdoor Items,Pools & Spas,,,
528,In-market audiences,Home & Garden,Pet Supplies,,,,
529,In-market audiences,Home & Garden,Pet Supplies,Cat Food & Supplies,,,
530,In-market audiences,Home & Garden,Pet Supplies,Dog Food & Supplies,,,
531,In-market audiences,Home & Garden,Tableware,,,,
532,In-market audiences,Musical Instruments & Accessories,,,,,
533,In-market audiences,Real Estate,,,,,
534,In-market audiences,Real Estate,Commercial Properties,,,,
535,In-market audiences,Real Estate,Commercial Properties,Commercial Properties (For Rent),,,
536,In-market audiences,Real Estate,Commercial Properties,Commercial Properties (For Sale),,,
537,In-market audiences,Real Estate,Moving & Relocation,,,,
538,In-market audiences,Real Estate,Residential Properties,,,,
539,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Rent),,,
540,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Rent),Apartments (For Rent),,
541,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Rent),Houses (For Rent),,
542,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),,,
543,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),Apartments (For Sale),,
544,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),New Apartments (For Sale),,
545,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),Preowned Apartments (For Sale),,
546,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),Houses (For Sale),,
547,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),New Houses (For Sale),,
548,In-market audiences,Real Estate,Residential Properties,Residential Properties (For Sale),Pre Owned Houses (For Sale),,
549,In-market audiences,Seasonal Shopping,,,,,
550,In-market audiences,Seasonal Shopping,Back-to-School Shopping,,,,
551,In-market audiences,Seasonal Shopping,Back-to-School Shopping,Back-to-School Apparel & Accessories,,,
552,In-market audiences,Seasonal Shopping,Back-to-School Shopping,School Supplies,,,
553,In-market audiences,Seasonal Shopping,Black Friday Shopping,,,,
554,In-market audiences,Seasonal Shopping,Black Friday Shopping,In-Store Black Friday Shopping,,,
555,In-market audiences,Seasonal Shopping,Black Friday Shopping,Online Black Friday Shopping,,,
556,In-market audiences,Seasonal Shopping,Christmas Shopping,,,,
557,In-market audiences,Seasonal Shopping,Christmas Shopping,After-Christmas Sale Shopping,,,
558,In-market audiences,Seasonal Shopping,Christmas Shopping,In-Store Christmas Shopping,,,
559,In-market audiences,Seasonal Shopping,Christmas Shopping,Online Christmas Shopping,,,
560,In-market audiences,Seasonal Shopping,Mother's Day Shopping,,,,
561,In-market audiences,Seasonal Shopping,Mother's Day Shopping,Mother's Day Dining,,,
562,In-market audiences,Seasonal Shopping,Mother's Day Shopping,Mother's Day Flowers & Greeting Cards,,,
563,In-market audiences,Software,,,,,
564,In-market audiences,Software,Accounting Software,,,,
565,In-market audiences,Software,Antivirus & Security Software,,,,
566,In-market audiences,Software,Audio & Music Software,,,,
567,In-market audiences,Software,Business & Productivity Software,,,,
568,In-market audiences,Software,Design Software,,,,
569,In-market audiences,Software,Design Software,Drawing & Animation Software,,,
570,In-market audiences,Software,Design Software,Photo Software,,,
571,In-market audiences,Software,Video Editing & Production Software,,,,
572,In-market audiences,Sports & Fitness,,,,,
573,In-market audiences,Sports & Fitness,Fitness Products & Services,,,,
574,In-market audiences,Sports & Fitness,Fitness Products & Services,Exercise Equipment,,,
575,In-market audiences,Sports & Fitness,Fitness Products & Services,Fitness Classes & Personal Training Services,,,
576,In-market audiences,Sports & Fitness,Fitness Products & Services,Gyms & Athletic Clubs,,,
577,In-market audiences,Sports & Fitness,Outdoor Recreational Equipment,,,,
578,In-market audiences,Sports & Fitness,Outdoor Recreational Equipment,Camping & Hiking Equipment,,,
579,In-market audiences,Sports & Fitness,Outdoor Recreational Equipment,Fishing Equipment,,,
580,In-market audiences,Sports & Fitness,Sporting Goods,,,,
581,In-market audiences,Sports & Fitness,Sporting Goods,Golf Equipment,,,
582,In-market audiences,Sports & Fitness,Sporting Goods,Winter Sports Equipment & Accessories,,,
583,In-market audiences,Telecom,,,,,
584,In-market audiences,Telecom,Cable & Satellite TV Providers,,,,
585,In-market audiences,Telecom,Internet Service Providers,,,,
586,In-market audiences,Telecom,Mobile Phone Service Providers,,,,
587,In-market audiences,Travel,,,,,
588,In-market audiences,Travel,Air Travel,,,,
589,In-market audiences,Travel,Air Travel,Air Travel by Class,,,
590,In-market audiences,Travel,Air Travel,Air Travel by Class,Business & First Class,,
591,In-market audiences,Travel,Air Travel,Air Travel by Class,Economy Class,,
592,In-market audiences,Travel,Bus & Rail Travel,,,,
593,In-market audiences,Travel,Car Rental,,,,
594,In-market audiences,Travel,Car Rental,"Economy, Compact & Mid-size Car Rental",,,
595,In-market audiences,Travel,Car Rental,Full-size & Standard Car Rental,,,
596,In-market audiences,Travel,Car Rental,"Luxury, Convertible & Specialty Car Rental",,,
597,In-market audiences,Travel,Car Rental,Minivan & SUV Rental,,,
598,In-market audiences,Travel,Cruises,,,,
599,In-market audiences,Travel,Hotels & Accommodations,,,,
600,In-market audiences,Travel,Hotels & Accommodations,Hotels by Star Rating,,,
601,In-market audiences,Travel,Hotels & Accommodations,Hotels by Star Rating,1 & 2 Star Hotels,,
602,In-market audiences,Travel,Hotels & Accommodations,Hotels by Star Rating,3 Star Hotels,,
603,In-market audiences,Travel,Hotels & Accommodations,Hotels by Star Rating,4 Star Hotels,,
604,In-market audiences,Travel,Hotels & Accommodations,Hotels by Star Rating,5 Star Hotels,,
605,In-market audiences,Travel,Hotels & Accommodations,Vacation Rentals,,,
606,In-market audiences,Travel,Sightseeing Tours & Tourist Attractions,,,,
607,In-market audiences,Travel,Trips by Destination,,,,
608,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,,,
609,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Australia,,
610,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Australia,Trips to Brisbane,
611,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Australia,Trips to Melbourne,
612,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Australia,Trips to Perth,
613,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Australia,Trips to Sydney,
614,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to China,,
615,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to China,Trips to Shanghai,
616,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to China,Trips to Guangzhou,
617,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to China,Trips to Beijing,
618,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Hong Kong,,
619,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,,
620,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Bangalore,
621,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Chennai,
622,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Delhi,
623,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Goa,
624,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Hyderabad,
625,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Jaipur,
626,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Kolkata,
627,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to India,Trips to Mumbai,
628,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Indonesia,,
629,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Indonesia,Trips to Bali,
630,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Indonesia,Trips to Jakarta,
631,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,,
632,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Fukuoka,
633,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Kyoto-Osaka-Kobe,
634,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Nagoya,
635,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Okinawa,
636,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Sapporo,
637,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Japan,Trips to Tokyo,
638,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Malaysia,,
639,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Malaysia,Trips to Kuala Lumpur,
640,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Nepal,,
641,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to New Zealand,,
642,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Seoul,,
643,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Singapore,,
644,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Sri Lanka,,
645,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Taipei,,
646,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Thailand,,
647,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Thailand,Trips to Bangkok,
648,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Thailand,Trips to Chiang Mai,
649,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Thailand,Trips to Phuket,
650,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Vietnam,,
651,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Vietnam,Trips to Hanoi,
652,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to Vietnam,Trips to Ho Chi Minh City,
653,In-market audiences,Travel,Trips by Destination,Trips to Asia-Pacific,Trips to the Philippines,,
654,In-market audiences,Travel,Trips by Destination,Trips to Europe,,,
655,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Amsterdam,,
656,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Brussels,,
657,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Croatia,,
658,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Denmark,,
659,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Denmark,Trips to Copenhagen,
660,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,,
661,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Bordeaux,
662,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Lyon,
663,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Marseille,
664,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Nice,
665,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Paris,
666,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to France,Trips to Toulouse,
667,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,,
668,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Berlin,
669,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Cologne,
670,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Dusseldorf,
671,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Frankfurt,
672,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Hamburg,
673,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Germany,Trips to Munich,
674,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Helsinki,,
675,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Hungary,,
676,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Hungary,Trips to Budapest,
677,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Iceland,,
678,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Ireland,,
679,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Ireland,Trips to Dublin,
680,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,,
681,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Florence,
682,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Milan,
683,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Naples,
684,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Rome,
685,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Sicily,
686,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Italy,Trips to Venice,
687,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Kiev,,
688,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Malta,,
689,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Moscow,,
690,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Oslo,,
691,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Poland,,
692,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Poland,Trips to Krakow,
693,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Poland,Trips to Warsaw,
694,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Portugal,,
695,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Portugal,Trips to Lisbon,
696,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Portugal,Trips to Porto,
697,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Prague,,
698,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Romania,,
699,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,,
700,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to Barcelona,
701,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to Madrid,
702,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to Malaga,
703,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,"Trips to Mallorca, Ibiza & Balearic Islands",
704,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to Seville,
705,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to Valencia,
706,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Spain,Trips to the Canary Islands,
707,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to St. Petersburg,,
708,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Sweden,,
709,In-market audiences,Travel,Trips by Destination,Trips to Europe,Trips to Sweden,Trips to Stockholm,
