,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
87,Affinity Audience,News & Politics,Avid News Readers,Women's Media Fans,,,
88,Affinity Audience,Shoppers,,,,,
89,Affinity Audience,Shoppers,Bargain Hunters,,,,
90,Affinity Audience,Shoppers,Luxury Shoppers,,,,
91,Affinity Audience,Shoppers,Shopaholics,,,,
92,Affinity Audience,Shoppers,Shoppers by Store Type,,,,
93,Affinity Audience,Shoppers,Shoppers by Store Type,Convenience Store Shoppers,,,
94,Affinity Audience,Shoppers,Shoppers by Store Type,Department Store Shoppers,,,
95,Affinity Audience,Shoppers,Shoppers by Store Type,Superstore Shoppers,,,
96,Affinity Audience,Shoppers,Value Shoppers,,,,
97,Affinity Audience,Sports & Fitness,,,,,
98,Affinity Audience,Sports & Fitness,Health & Fitness Buffs,,,,
99,Affinity Audience,Sports & Fitness,Sports Fans,,,,
100,Affinity Audience,Sports & Fitness,Sports Fans,American Football Fans,,,
101,Affinity Audience,Sports & Fitness,Sports Fans,Australian Football Fans,,,
102,Affinity Audience,Sports & Fitness,Sports Fans,Baseball Fans,,,
103,Affinity Audience,Sports & Fitness,Sports Fans,Basketball Fans,,,
104,Affinity Audience,Sports & Fitness,Sports Fans,Boating & Sailing Enthusiasts,,,
105,Affinity Audience,Sports & Fitness,Sports Fans,Cricket Enthusiasts,,,
106,Affinity Audience,Sports & Fitness,Sports Fans,Cycling Enthusiasts,,,
107,Affinity Audience,Sports & Fitness,Sports Fans,Fight & Wrestling Fans,,,
108,Affinity Audience,Sports & Fitness,Sports Fans,Golf Enthusiasts,,,
109,Affinity Audience,Sports & Fitness,Sports Fans,Hockey Fans,,,
110,Affinity Audience,Sports & Fitness,Sports Fans,Motor Sports Enthusiasts,,,
111,Affinity Audience,Sports & Fitness,Sports Fans,Racquetball Enthusiasts,,,
112,Affinity Audience,Sports & Fitness,Sports Fans,Rugby Enthusiasts,,,
113,Affinity Audience,Sports & Fitness,Sports Fans,Running Enthusiasts,,,
114,Affinity Audience,Sports & Fitness,Sports Fans,Skiing Enthusiasts,,,
115,Affinity Audience,Sports & Fitness,Sports Fans,Soccer Fans,,,
116,Affinity Audience,Sports & Fitness,Sports Fans,Swimming Enthusiasts,,,
117,Affinity Audience,Sports & Fitness,Sports Fans,Tennis Enthusiasts,,,
118,Affinity Audience,Sports & Fitness,Sports Fans,Water Sports Enthusiasts,,,
119,Affinity Audience,Sports & Fitness,Sports Fans,Winter Sports Enthusiasts,,,
120,Affinity Audience,Technology,,,,,
121,Affinity Audience,Technology,Mobile Enthusiasts,,,,
122,Affinity Audience,Technology,Social Media Enthusiasts,,,,
123,Affinity Audience,Technology,Technophiles,,,,
124,Affinity Audience,Technology,Technophiles,Audiophiles,,,
125,Affinity Audience,Technology,Technophiles,Cloud Services Power Users,,,
126,Affinity Audience,Technology,Technophiles,High-End Computer Aficionados,,,
127,Affinity Audience,Technology,Technophiles,Home Automation Enthusiasts,,,
128,Affinity Audience,Travel,Business Travelers,,,,
129,Affinity Audience,Travel,Travel Buffs,,,,
130,Affinity Audience,Travel,Travel Buffs,Beachbound Travelers,,,
131,Affinity Audience,Travel,Travel Buffs,Family Vacationers,,,
132,Affinity Audience,Travel,Travel Buffs,Luxury Travelers,,,
133,Affinity Audience,Travel,Travel Buffs,Snowbound Travelers,,,
134,Affinity Audience,Vehicles & Transportation,,,,,
135,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,,,,
136,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Motorcycle Enthusiasts,,,
137,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Performance & Luxury Vehicle Enthusiasts,,,
138,Affinity Audience,Vehicles & Transportation,Auto Enthusiasts,Truck & SUV Enthusiasts,,,
139,Affinity Audience,Vehicles & Transportation,Transportation Modes,,,,
140,Affinity Audience,Vehicles & Transportation,Transportation Modes,Public Transit Users,,,
141,Affinity Audience,Vehicles & Transportation,Transportation Modes,Taxi Service Users,,,
142,In-market audiences,Apparel & Accessories,,,,,
143,In-market audiences,Apparel & Accessories,Activewear,,,,
144,In-market audiences,Apparel & Accessories,Backpacks,,,,
145,In-market audiences,Apparel & Accessories,Costumes,,,,
146,In-market audiences,Apparel & Accessories,Eyewear,,,,
147,In-market audiences,Apparel & Accessories,Eyewear,Sunglasses,,,
148,In-market audiences,Apparel & Accessories,Formal Wear,,,,
149,In-market audiences,Apparel & Accessories,Formal Wear,Bridal Wear,,,
150,In-market audiences,Apparel & Accessories,Formal Wear,Suits & Business Attire,,,
151,In-market audiences,Apparel & Accessories,Handbags,,,,
152,In-market audiences,Apparel & Accessories,Hats,,,,
153,In-market audiences,Apparel & Accessories,Jewelry & Watches,,,,
154,In-market audiences,Apparel & Accessories,Jewelry & Watches,Fine Jewelry,,,
155,In-market audiences,Apparel & Accessories,Jewelry & Watches,Fine Jewelry,Necklaces,,
156,In-market audiences,Apparel & Accessories,Jewelry & Watches,Watches,,,
157,In-market audiences,Apparel & Accessories,Jewelry & Watches,Wedding & Engagement Rings,,,
158,In-market audiences,Apparel & Accessories,Lingerie,,,,
159,In-market audiences,Apparel & Accessories,Luggage,,,,
160,In-market audiences,Apparel & Accessories,Men's Apparel,,,,
161,In-market audiences,Apparel & Accessories,Outerwear,,,,
162,In-market audiences,Apparel & Accessories,Pants,,,,
163,In-market audiences,Apparel & Accessories,Shirts & Tops,,,,
164,In-market audiences,Apparel & Accessories,Shoes,,,,
165,In-market audiences,Apparel & Accessories,Shoes,Athletic Shoes,,,
166,In-market audiences,Apparel & Accessories,Shoes,Boots,,,
167,In-market audiences,Apparel & Accessories,Shoes,Dress Shoes,,,
168,In-market audiences,Apparel & Accessories,Socks,,,,
169,In-market audiences,Apparel & Accessories,Swimwear,,,,
170,In-market audiences,Apparel & Accessories,Underwear,,,,
171,In-market audiences,Apparel & Accessories,"Wallets, Briefcases & Leather Goods",,,,
172,In-market audiences,Apparel & Accessories,Women's Apparel,,,,
173,In-market audiences,Arts & Crafts Supplies,,,,,
174,In-market audiences,Autos & Vehicles,,,,,
175,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,,,,
176,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Auto Exterior Parts & Accessories,,,
177,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Auto Interior Parts & Accessories,,,
178,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Automotive Electronic Components,,,
179,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Car Batteries,,,
180,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Car Brakes,,,
181,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Engine & Transmission,,,
182,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,High Performance & Aftermarket Auto Parts,,,
183,In-market audiences,Autos & Vehicles,Auto Parts & Accessories,Wheels & Tires,,,
184,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,,,,
185,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,Brake Service & Repair,,,
186,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,Collision & Auto Body Repair,,,
187,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,Glass Repair & Replacement,,,
188,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,Oil Changes,,,
189,In-market audiences,Autos & Vehicles,Auto Repair & Maintenance,Transmission Repair,,,
190,In-market audiences,Autos & Vehicles,Motor Vehicles,,,,
191,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles (New),,,
192,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles (Used),,,
193,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,,,
194,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Acura,,
195,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Alfa Romeo,,
196,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Audi,,
197,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,BMW,,
198,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Buick,,
199,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Cadillac,,
200,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Chevrolet,,
201,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Chrysler,,
202,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Citroën,,
203,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Dodge,,
204,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Fiat,,
205,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Ford,,
206,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,GMC,,
207,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Honda,,
208,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Hyundai,,
209,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Infiniti,,
210,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Isuzu,,
211,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Jaguar,,
212,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Jeep,,
213,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Kia,,
214,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Land Rover,,
215,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Lexus,,
216,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Lincoln,,
217,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Maserati,,
218,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mazda,,
219,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mercedes-Benz,,
220,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mini,,
221,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mitsubishi,,
222,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Nissan,,
223,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Peugeot,,
224,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Porsche,,
225,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Ram Trucks,,
226,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Renault,,
227,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,SEAT,,
228,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Scion,,
229,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Subaru,,
230,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Suzuki,,
231,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Tesla Motors,,
232,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Toyota,,
233,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Vauxhall-Opel,,
234,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Volkswagen,,
235,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Volvo,,
236,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,,,
237,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Classic Vehicles,,
238,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,,
239,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,Compact Cars (New),
240,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,Compact Cars (Used),
241,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,,
242,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,Convertibles (New),
243,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,Convertibles (Used),
244,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,,
245,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,Coupes (New),
246,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,Coupes (Used),
247,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,,
248,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,Crossovers (New),
249,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,Crossovers (Used),
250,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,,
251,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,Diesel Vehicles (New),
252,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,Diesel Vehicles (Used),
253,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,,
254,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,Hatchbacks (New),
255,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,Hatchbacks (Used),
256,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,,
257,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,Hybrid & Alternative Vehicles (New),
258,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,Hybrid & Alternative Vehicles (Used),
259,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,,
260,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,Luxury Vehicles (New),
261,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,Luxury Vehicles (Used),
262,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,,
263,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,Microcars & Subcompacts (New),
264,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,Microcars & Subcompacts (Used),
265,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,,
266,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,Motorcycles (New),
267,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,Motorcycles (Used),
268,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,,
269,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,Off-Road Vehicles (New),
270,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,Off-Road Vehicles (Used),
271,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,,
272,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,Pickup Trucks (New),
273,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Pickup Trucks,Pickup Trucks (Used),
274,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,,
275,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,SUVs (New),
276,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,SUVs,SUVs (Used),
277,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,,
278,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,Scooters & Mopeds (New),
279,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Scooters & Mopeds,Scooters & Mopeds (Used),
280,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,,
281,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Sedans,Sedans (New),
